lon,lat,urban,region,n_births
-17.482656,14.724242,1,1,29
-17.480867,14.760269,1,1,32
-17.476826,14.724342,1,1,16
-17.472224,14.694057,1,1,36
-17.46993,14.751573,1,1,15
-17.469442,14.713527,1,1,17
-17.468245,14.68652,1,1,32
-17.467337,14.704329,1,1,21
-17.463792,14.707506,1,1,16
-17.463178,14.715499,1,1,9
-17.461268,14.733929,1,1,15
-17.461133,14.690163,1,1,26
-17.459632,14.708186,1,1,41
-17.459553,14.701832,1,1,10
-17.458158,14.727585,1,1,5
-17.458092,14.712374,1,1,8
-17.457493,14.701185,1,1,12
-17.455255,14.753612,1,1,22
-17.454489,14.705336,1,1,20
-17.452999,14.689948,1,1,29
-17.451919,14.69709,1,1,6
-17.451456,14.734482,1,1,40
-17.45043,14.747269,1,1,62
-17.450257,14.733441,1,1,21
-17.449757,14.70923,1,1,19
-17.446668,14.684338,1,1,17
-17.446488,14.718148,1,1,7
-17.445027,14.679867,1,1,18
-17.444975,14.710557,1,1,30
-17.443829,14.747587,1,1,33
-17.443494,14.72781,1,1,8
-17.442145,14.694034,1,1,8
-17.442062,14.694942,1,1,2
-17.441944,14.677868,1,1,20
-17.441903,14.730188,1,1,65
-17.441604,14.757165,1,1,29
-17.440624,14.755423,1,1,25
-17.440055,14.750583,1,1,12
-17.437583,14.771139,1,1,8
-17.431943,14.759756,1,1,33
-17.431869,14.76511,1,1,16
-17.428632,14.762955,1,1,27
-17.425949,14.763571,1,1,9
-17.425592,14.758175,1,1,15
-17.413345,14.723664,1,1,10
-17.413082,14.759534,1,1,7
-17.410267,14.778745,1,1,13
-17.404673,14.764826,1,1,62
-17.399872,14.77288,1,1,32
-17.398718,14.750466,1,1,44
-17.397898,14.770161,1,1,37
-17.392681,14.767178,1,1,32
-17.392373,14.767712,1,1,59
-17.391886,14.768116,1,1,66
-17.390491,14.782501,1,1,78
-17.39026,14.74767,1,1,44
-17.389813,14.748699,1,1,46
-17.389119,14.764354,1,1,13
-17.385922,14.757164,1,1,38
-17.385754,14.741994,1,1,23
-17.385511,14.757014,1,1,24
-17.385508,14.744422,1,1,10
-17.385329,14.747566,1,1,10
-17.384612,14.746109,1,1,57
-17.381838,14.768673,1,1,65
-17.379854,14.788805,1,1,65
-17.377189,14.775907,1,1,21
-17.375551,14.772678,1,1,69
-17.374356,14.786735,1,1,68
-17.374002,14.743028,1,1,13
-17.37098,14.766136,1,1,28
-17.368929,14.753097,1,1,41
-17.368676,14.754585,1,1,26
-17.367331,14.771886,1,1,11
-17.365452,14.783873,1,1,47
-17.365354,14.748309,1,1,14
-17.3612,14.792391,1,1,56
-17.360005,14.768233,1,1,16
-17.358321,14.773353,1,1,48
-17.357885,14.752815,1,1,55
-17.353382,14.757282,1,1,39
-17.352741,14.767681,1,1,58
-17.345339,14.76472,1,1,15
-17.335012,14.76145,1,1,21
-17.332948,14.776915,1,1,22
-17.327604,14.738755,1,1,8
-17.321295,14.790117,1,1,28
-17.314156,14.744489,1,1,32
-17.308012,14.782941,1,1,64
-17.284404,14.718625,1,1,45
-17.279952,14.727265,1,1,19
-17.274,14.738699,0,1,19
-17.273982,14.719079,1,1,8
-17.26933,14.720779,1,1,57
-17.267208,14.710795,1,1,13
-17.264132,14.719926,1,1,49
-17.259832,14.714755,1,1,57
-17.239373,14.786839,0,1,78
-17.238033,14.743202,0,1,100
-17.225034,14.767056,1,1,17
-17.222205,14.761155,1,1,10
-17.212669000000002,14.775987,1,1,20
-17.198495,14.814688,0,1,66
-17.193449,14.868995,0,1,72
-17.187,14.768374,0,1,81
-17.176141,14.830335,0,1,19
-17.158437,14.770231,0,1,24
-17.146316,14.617801,0,1,58
-17.121034,14.776319,0,1,71
-17.119185,14.911549,1,1,41
-17.112996,14.569888,0,1,33
-17.096424,14.870814,0,1,60
-17.081642,14.64186,0,1,64
-17.070502,14.446777,0,1,37
-17.064145,14.756022,0,1,42
-17.062324,14.760837,1,1,45
-17.05298,14.714403,0,1,91
-17.034543,14.936987,0,1,30
-17.006654,14.986412,0,1,91
-17.00083,14.511379,1,1,18
-16.983673,14.423859,1,1,38
-16.974633,14.43942,1,1,34
-16.968911,14.429272,1,1,31
-16.965444,14.415924,1,1,49
-16.964387,14.425295,1,1,21
-16.963898,14.429233,1,1,57
-16.963656,14.420697,1,1,40
-16.962855,14.404999,1,1,23
-16.962603,14.41414,1,1,29
-16.957389,14.769493,1,1,26
-16.947083,14.392089,1,1,33
-16.946094,14.398392,1,1,54
-16.944066,14.327842,0,1,14
-16.938444,14.772419,0,1,27
-16.938149,14.774066,1,1,52
-16.934869,14.783448,1,1,22
-16.932065,14.779385,1,1,31
-16.93066,14.9288,0,1,27
-16.929171,14.809348,1,1,18
-16.928532,14.786407,1,1,59
-16.924916,14.770062,1,1,53
-16.924426,14.770056,1,1,44
-16.923207,14.810157,1,1,30
-16.920338,14.78356,1,1,65
-16.919247,14.795095,1,1,32
-16.915587,14.292262,0,1,74
-16.907551,14.812489,1,1,63
-16.90646,14.782655,1,1,81
-16.90578,14.783666,1,1,33
-16.90403,14.807152,1,1,20
-16.902009,14.771866,1,1,17
-16.899294,15.131409,1,1,37
-16.886878,14.487755,0,1,82
-16.871301,15.009233,0,1,66
-16.863176,15.15412,0,1,30
-16.850311,14.174476,1,1,71
-16.846828,14.172832,1,1,19
-16.842819,14.172032,1,1,55
-16.836199,14.255338,0,1,39
-16.824202,14.50937,0,1,77
-16.82117,14.94714,1,1,49
-16.819916,14.736846,0,1,96
-16.813353,14.962662,1,1,39
-16.801791,14.959639,1,1,31
-16.796694,14.737075,0,1,16
-16.794524,15.249156,0,1,82
-16.794329,14.553127,0,1,26
-16.783444,14.70841,0,1,63
-16.777546,14.449908,0,1,57
-16.772183,15.183923,0,1,112
-16.760936,15.277814,0,1,71
-16.752515,14.999519,0,1,23
-16.752007,14.17592,0,1,71
-16.746037,14.830403,0,1,16
-16.744342,15.100766,0,1,39
-16.739861,12.915774,0,1,48
-16.738036,15.413216,0,1,5
-16.735039,14.07344,0,1,41
-16.731581,14.272754,0,1,17
-16.718708,15.121207,0,1,21
-16.718569,14.420003,1,1,61
-16.708908,14.42139,1,1,51
-16.696035,12.483787,0,1,24
-16.694382,14.946599,0,1,78
-16.694321,14.34263,0,1,36
-16.690121,13.007188,0,1,80
-16.684731,14.801662,0,1,74
-16.684574,14.765597,1,1,15
-16.683241,14.123894,0,1,26
-16.682926,14.48467,0,1,33
-16.678549,12.372193,0,1,24
-16.6675,14.205723,1,1,26
-16.661655,14.033171,0,1,57
-16.659991,14.431629,0,1,87
-16.656013,14.192836,1,1,37
-16.654546,14.797721,0,1,64
-16.652149,14.728521,0,1,67
-16.642777,12.797912,0,1,15
-16.641953,14.655634,0,1,17
-16.641623,14.802459,0,1,37
-16.641405,14.241983,0,1,61
-16.641166,14.391358,0,1,31
-16.626635,14.337165,0,1,65
-16.6256,14.895292,0,1,44
-16.620481,15.094889,1,1,19
-16.620018,14.307342,0,1,50
-16.609147,12.493629,0,1,42
-16.607143,14.665802,0,1,30
-16.603841,14.012843,0,1,34
-16.600565,12.407739,0,1,36
-16.59947,14.81092,0,1,38
-16.59771,13.707661,0,1,100
-16.586299,14.420536,0,1,72
-16.585944,14.487291,0,1,80
-16.582804,13.944726,0,1,53
-16.580368,12.60246,0,1,13
-16.577611,13.013066,0,1,53
-16.574884,14.582579,0,1,32
-16.565504,15.454698,0,1,94
-16.560988,15.156595,0,1,71
-16.560975,14.765998,0,1,70
-16.560008,15.358597,0,1,78
-16.559515,15.400818,0,1,81
-16.549578,14.481402,0,1,29
-16.547348,12.486153,1,1,36
-16.53665,12.538561,0,1,34
-16.529223000000002,12.456519,0,1,20
-16.528304,14.650193,0,1,100
-16.525286,14.89483,0,1,17
-16.525256,15.284888,0,1,30
-16.52523,15.273657,0,1,79
-16.521082,14.604835,0,1,107
-16.520308,15.434913,0,1,48
-16.517871,14.74869,0,1,72
-16.512081,12.861547,0,1,36
-16.511253,16.040903,1,1,25
